price,bedrooms,bathrooms,sqft_living,floors,sqft_basement,yr_built
620000.0,2.0,1.0,1430,1.5,130,1929
1228000.0,4.0,2.5,5730,2.0,1450,1991
333000.0,4.0,2.5,1910,1.0,0,1963
743000.0,3.0,1.75,2110,1.0,0,1961
448000.0,2.0,1.5,1630,1.0,740,1940
485000.0,4.0,2.5,2470,2.0,0,1989
489950.0,4.0,2.25,2640,1.0,0,1986
498500.0,5.0,2.75,2990,2.0,0,1996
531000.0,3.0,2.5,2120,2.0,0,1988
670000.0,3.0,2.5,2050,1.0,320,1956
310000.0,5.0,3.0,1880,1.0,780,1997
835000.0,3.0,3.0,2790,2.0,1190,1977
495000.0,4.0,2.5,2140,2.0,0,2003
495000.0,3.0,2.0,1769,1.0,0,1955
440000.0,3.0,1.0,1710,1.5,510,1926
280000.0,1.0,0.75,420,1.0,0,1922
1070000.0,4.0,2.5,3270,2.0,0,1989
1034500.0,4.0,2.5,2370,2.0,0,2003
248000.0,4.0,2.5,1770,2.0,0,2003
294000.0,4.0,2.5,2210,1.0,720,1990
561000.0,3.0,2.25,1710,2.0,0,2004
656500.0,4.0,2.0,2710,1.0,1250,1919
660000.0,3.0,3.0,2340,2.0,180,1925
370000.0,2.0,1.0,1220,1.0,0,1947
349950.0,3.0,1.0,1060,1.0,0,1966
223000.0,2.0,1.0,910,1.0,0,1957
560000.0,4.0,1.75,1880,1.5,790,1944
594000.0,4.0,1.75,1870,2.0,670,1937
600000.0,3.0,2.25,1480,2.0,0,1914
315000.0,3.0,2.5,1880,2.0,0,1993
430000.0,4.0,1.75,1890,1.0,780,1947
440000.0,3.0,2.75,1560,1.0,530,1972
312500.0,2.0,1.5,1070,2.0,0,1999
1240000.0,5.0,4.0,4410,2.0,0,2006
300000.0,3.0,3.25,1470,2.0,290,2008
680000.0,3.0,2.5,2570,2.5,0,2007
336750.0,2.0,2.25,1170,2.0,0,2009
822500.0,5.0,3.5,2320,2.0,600,1926
589000.0,4.0,3.0,2440,2.0,0,1961
863000.0,4.0,2.5,4120,2.0,0,1997
210000.0,2.0,1.75,1440,1.0,0,1978
206135.0,3.0,1.0,1340,1.0,0,1978
1125000.0,6.0,3.75,3010,2.0,1010,2014
285000.0,3.0,1.75,1840,1.0,920,1905
230000.0,2.0,1.0,930,1.0,0,1986
845000.0,4.0,2.75,4070,2.0,0,2002
350000.0,3.0,1.75,1820,1.0,590,1976
304000.0,3.0,1.0,1280,1.5,0,1947
370000.0,2.0,1.0,900,1.0,0,1951
810000.0,3.0,1.75,1980,1.0,660,1952
440000.0,4.0,2.25,2010,1.0,790,1974
1030000.0,4.0,2.5,2750,2.0,790,1905
775000.0,4.0,2.0,3140,1.0,1200,1939
1335000.0,5.0,2.25,4200,2.5,1290,1906
235000.0,3.0,1.75,1900,1.0,950,1980
499950.0,3.0,1.0,1830,1.5,400,1926
622500.0,5.0,2.75,3320,2.0,1130,1975
300000.0,4.0,2.5,2700,1.0,1140,1966
205000.0,3.0,1.0,1290,1.0,0,1976
435000.0,3.0,1.75,1500,1.0,0,1997
697000.0,4.0,2.75,3650,1.5,0,1978
153000.0,3.0,1.0,1270,1.5,0,1944
454000.0,4.0,2.25,2630,2.0,0,1979
345000.0,2.0,1.5,1800,1.0,560,1987
585000.0,3.0,1.0,1870,1.5,290,1927
380000.0,4.0,2.5,2540,2.0,670,2000
250600.0,4.0,2.5,1930,1.0,810,1981
890000.0,4.0,2.25,2770,2.0,0,1974
370000.0,4.0,2.5,2220,2.0,0,2001
369500.0,3.0,1.5,1650,1.0,550,1961
883000.0,4.0,2.5,3670,2.0,0,1999
950000.0,4.0,2.5,3770,2.0,0,1989
615000.0,3.0,1.75,2350,1.0,550,1978
305000.0,3.0,1.5,1210,1.0,600,1983
590000.0,4.0,2.5,2010,2.0,0,1989
485000.0,3.0,2.5,1580,2.0,0,1985
215000.0,2.0,1.0,710,1.0,0,1943
430000.0,3.0,2.0,1910,1.5,0,1971
324900.0,4.0,2.5,1880,2.0,0,2000
849900.0,2.0,2.0,2280,2.0,0,1990
975000.0,5.0,2.75,3100,1.0,1440,1973
910000.0,5.0,2.5,2350,2.0,0,1993
459950.0,3.0,1.75,1850,1.0,750,1919
325000.0,3.0,2.5,2070,2.0,0,1997
513000.0,4.0,2.75,2020,1.0,1010,1958
475000.0,3.0,2.25,1580,1.0,380,1981
419000.0,4.0,2.5,2690,2.0,0,1993
760000.0,4.0,2.5,2420,1.0,720,1958
1120000.0,5.0,1.5,2540,2.0,200,1954
129000.0,2.0,1.0,1150,1.0,0,1950
725000.0,5.0,2.5,3210,1.0,1380,1968
580000.0,3.0,2.5,2040,2.0,0,1992
385000.0,3.0,2.25,1920,1.0,860,1921
265000.0,4.0,1.75,1900,1.0,0,1958
330000.0,3.0,2.5,1070,2.0,350,2005
665000.0,4.0,2.5,2790,2.0,0,1989
799000.0,3.0,2.5,2860,2.0,0,2000
589000.0,3.0,2.0,2250,1.0,1000,1925
538000.0,3.0,1.0,1460,1.0,200,1906
530100.0,3.0,1.0,1540,1.5,340,1926
718500.0,3.0,2.0,2910,2.0,990,1900
299000.0,3.0,1.75,1180,1.0,0,1962
556000.0,3.0,1.75,1640,1.0,550,1948
171000.0,4.0,2.0,1520,1.0,500,1920
540000.0,5.0,3.0,3610,2.0,0,2003
250000.0,3.0,2.25,1400,2.0,0,2012
795000.0,4.0,3.5,3200,2.0,530,2007
575000.0,3.0,3.0,1384,2.0,240,2006
379500.0,3.0,2.25,1410,2.0,120,2005
385000.0,4.0,2.5,2050,2.0,0,2006
415500.0,4.0,2.5,1750,2.0,0,2009
397500.0,3.0,2.0,1510,1.0,440,1972
530000.0,3.0,2.5,1930,2.0,0,2005
883000.0,4.0,2.5,2960,2.0,0,1985
850000.0,5.0,2.75,2920,1.0,1260,1968
496752.0,2.0,1.0,1980,1.0,890,1923
330000.0,3.0,1.75,1430,1.0,0,1950
735000.0,4.0,2.75,2450,2.0,0,2010
525000.0,4.0,2.75,2360,2.0,0,2008
269950.0,3.0,2.5,1890,2.0,160,2002
650000.0,3.0,1.75,2140,1.0,850,1953
520500.0,3.0,2.0,1900,1.0,950,1940
652500.0,4.0,2.5,2700,2.0,0,1990
506000.0,5.0,3.0,2430,1.0,1060,1957
416000.0,3.0,1.0,1110,1.0,0,1957
500000.0,4.0,2.75,2280,1.0,0,1960
460000.0,3.0,1.75,1550,1.0,690,1949
371025.0,3.0,2.0,1530,1.0,0,1977
576000.0,4.0,2.5,2440,2.0,0,2002
353500.0,4.0,2.25,1760,2.0,0,1987
183000.0,3.0,1.75,1070,1.0,0,1957
763101.0,3.0,1.75,1990,1.0,890,1939
460000.0,2.0,1.5,1090,1.0,120,1951
825000.0,4.0,1.5,1890,1.5,0,1919
265000.0,3.0,1.0,1000,1.0,0,1969
295000.0,3.0,1.75,1770,1.0,740,1960
418000.0,4.0,3.0,2360,1.0,900,1960
554000.0,3.0,3.5,3380,2.0,680,1999
534500.0,3.0,2.5,1700,2.0,0,2005
690000.0,2.0,1.75,1600,1.0,750,1918
530000.0,4.0,2.5,2050,2.0,0,1988
357186.0,2.0,1.75,1210,2.0,0,2014
300000.0,5.0,3.0,1940,1.0,740,2007
304000.0,4.0,2.0,1810,1.0,700,1967
385000.0,4.0,1.75,1690,1.0,820,1984
415000.0,4.0,2.0,1800,1.0,800,1923
963000.0,4.0,3.5,3280,2.0,0,2007
792500.0,4.0,2.5,4290,2.0,0,2004
309212.0,3.0,1.75,1150,1.0,0,1979
235000.0,2.0,1.5,880,2.0,0,1999
667000.0,3.0,1.5,1720,2.0,0,1907
470000.0,3.0,1.5,1510,1.0,0,1956
375000.0,4.0,2.0,1240,1.0,200,1908
410000.0,4.0,2.0,1580,1.0,0,1953
566000.0,4.0,2.25,2170,2.0,0,1987
680000.0,4.0,2.75,2500,2.0,0,2010
332000.0,1.0,1.0,960,1.0,200,1908
902000.0,4.0,2.5,3030,2.0,0,2003
500000.0,3.0,1.75,1540,1.0,770,1947
445000.0,3.0,1.75,1890,1.5,0,1976
825000.0,4.0,2.5,2810,1.0,1100,1973
1095000.0,4.0,4.0,3530,2.0,900,1958
277000.0,3.0,1.0,1100,1.0,0,1957
545000.0,3.0,2.5,1940,1.0,500,1975
435000.0,3.0,2.5,2300,2.0,0,2003
638000.0,3.0,2.5,2110,2.0,0,2005
418000.0,4.0,1.5,1220,1.0,0,1965
499000.0,3.0,1.75,1750,1.0,280,1968
150000.0,3.0,1.5,1230,1.0,0,1949
759950.0,3.0,2.5,3100,2.0,0,2002
427000.0,3.0,2.5,1830,1.0,310,1991
