price,bedrooms,bathrooms,sqft_living,floors,sqft_basement,yr_built
313000.0,3.0,1.5,1340,1.5,0,1955
2384000.0,5.0,2.5,3650,2.0,280,1921
342000.0,3.0,2.0,1930,1.0,0,1966
420000.0,3.0,2.25,2000,1.0,1000,1963
550000.0,4.0,2.5,1940,1.0,800,1976
490000.0,2.0,1.0,880,1.0,0,1938
335000.0,2.0,2.0,1350,1.0,0,1976
482000.0,4.0,2.5,2710,2.0,0,1989
452500.0,3.0,2.5,2430,1.0,860,1985
640000.0,4.0,2.0,1520,1.5,0,1945
463000.0,3.0,1.75,1710,1.0,0,1948
1400000.0,4.0,2.5,2920,1.5,1010,1909
588500.0,3.0,1.75,2330,1.0,360,1980
365000.0,3.0,1.0,1090,1.0,0,1955
1200000.0,5.0,2.75,2910,1.5,0,1939
242500.0,3.0,1.5,1200,1.0,0,1965
419000.0,3.0,1.5,1570,1.0,0,1956
367500.0,4.0,3.0,3110,2.0,0,1997
257950.0,3.0,1.75,1370,1.0,0,1987
275000.0,3.0,1.5,1180,1.0,0,1983
750000.0,3.0,1.75,2240,2.0,690,1923
435000.0,4.0,1.0,1450,1.0,0,1954
626000.0,3.0,2.25,1750,2.5,280,2005
612500.0,4.0,2.5,2730,2.0,0,1991
495000.0,4.0,1.75,1600,1.0,470,1959
285000.0,3.0,2.5,2090,1.0,730,1987
615000.0,3.0,1.75,2360,1.0,1000,1948
698000.0,4.0,2.25,2200,1.5,900,1920
675000.0,5.0,2.5,2820,2.0,0,1979
790000.0,3.0,2.5,2600,1.0,900,1951
382500.0,4.0,1.75,1560,1.0,0,1967
499950.0,4.0,2.5,2860,2.0,670,2004
650000.0,4.0,2.0,1820,1.5,180,1945
625000.0,4.0,2.5,2820,2.0,0,2014
400000.0,4.0,2.5,3630,1.5,1330,1979
604000.0,3.0,2.5,3240,2.0,0,1995
440000.0,2.0,1.0,800,1.0,0,1944
287200.0,3.0,3.0,1850,1.0,760,1992
403000.0,3.0,2.0,1960,1.0,310,1957
750000.0,3.0,2.5,2390,1.0,950,1955
335000.0,3.0,2.25,1580,1.0,0,1978
260000.0,4.0,2.0,1480,1.0,0,1974
308500.0,2.0,1.0,850,1.0,0,1950
439950.0,3.0,2.5,1770,2.0,0,1990
235000.0,2.0,1.0,1210,1.0,0,1949
315000.0,3.0,1.0,1160,1.0,0,1968
437500.0,3.0,2.25,1970,2.0,0,1977
407500.0,3.0,2.5,1930,2.0,0,1996
445700.0,3.0,2.5,1270,3.0,0,2001
838000.0,4.0,2.5,3310,2.0,0,2001
630000.0,4.0,2.75,2710,2.0,0,2000
550000.0,3.0,1.75,2910,1.5,0,1979
805000.0,3.0,2.0,2710,1.5,830,1929
284000.0,3.0,1.75,1800,1.0,0,1968
470000.0,5.0,2.5,2210,1.0,750,1976
430000.0,4.0,1.5,1920,1.0,850,1954
491500.0,4.0,1.75,2190,1.0,0,1968
785000.0,5.0,3.25,3660,2.0,0,2006
385000.0,3.0,3.25,1320,2.0,280,2008
295000.0,2.0,2.5,1630,2.0,350,2009
555000.0,4.0,2.5,3310,2.0,0,2012
459990.0,3.0,2.5,2680,2.0,0,2013
625000.0,4.0,3.25,2730,1.0,1170,2007
300000.0,3.0,2.5,2540,2.0,0,2006
625000.0,4.0,2.75,2920,2.0,0,2012
553000.0,2.0,1.0,900,1.0,0,1944
379880.0,3.0,2.5,1650,1.0,520,1986
310000.0,3.0,1.0,1010,1.0,0,1973
775000.0,2.0,2.5,2680,1.0,0,2004
365000.0,3.0,2.5,2200,1.0,630,1988
331950.0,4.0,2.5,2530,2.0,520,1990
783500.0,3.0,2.5,2850,2.0,860,1980
628000.0,4.0,2.0,2280,1.0,1140,1900
560000.0,3.0,2.5,1900,2.0,0,1987
900000.0,3.0,1.0,1330,1.0,0,1928
531000.0,2.0,3.0,1270,2.0,160,2000
831000.0,4.0,3.0,2170,2.0,560,1982
780000.0,4.0,2.5,2730,2.0,0,1996
755000.0,4.0,2.5,2120,1.0,500,1960
705380.0,3.0,2.5,2490,2.0,0,2003
627000.0,4.0,2.25,1990,1.0,780,1973
865000.0,4.0,3.0,3690,2.0,0,1998
580000.0,2.0,1.0,2540,1.0,1220,1942
410000.0,3.0,2.25,1800,1.0,440,1978
485000.0,4.0,3.0,2340,1.0,1000,1979
400000.0,2.0,1.75,2110,1.0,0,1948
549000.0,2.0,1.0,1140,1.0,0,1908
620000.0,3.0,1.75,1480,2.5,0,2005
405000.0,2.0,3.0,1410,2.0,270,2006
232000.0,2.0,1.0,1200,1.0,0,1958
800866.0,5.0,2.5,3180,2.0,0,1990
650000.0,3.0,1.5,2160,1.0,760,1949
